Country.of.Origin,Harvest.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters,altitude_reportada,humedad_reportada,grupo
Ethiopia,2014.0,Desconocido,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,2075.0,1,1,2
Ethiopia,2014.0,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,2075.0,1,1,2
Guatemala,,Bourbon,Desconocido,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,,0,0.0,Desconocido,0,1700.0,1,0,2
Ethiopia,2014.0,Desconocido,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,2000.0,1,1,2
Ethiopia,2014.0,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,2075.0,1,1,2
Brazil,2013.0,Desconocido,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish-Green,1,,0,1,2
Peru,2012.0,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,,0,1,2
Ethiopia,2010.0,Desconocido,Desconocido,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,Desconocido,0,1635.0,1,1,2
Ethiopia,2010.0,Desconocido,Desconocido,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,Desconocido,0,1635.0,1,1,2
Ethiopia,2014.0,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,1822.5,1,1,2
Ethiopia,2014.0,Desconocido,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,Desconocido,1,1905.0,1,1,2
United States,2014.0,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,,0,0.0,Desconocido,0,1872.0,1,0,2
United States,2014.0,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,,0,0.0,Desconocido,0,1943.0,1,0,2
United States (Hawaii),2009.0,Desconocido,Desconocido,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,,0,0.0,Desconocido,2,609.6,1,0,2
Ethiopia,2010.0,Desconocido,Desconocido,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,Desconocido,2,1635.0,1,1,2
United States,2014.0,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,,0,0.0,Desconocido,0,2080.0,1,0,2
Indonesia,,Desconocido,Desconocido,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,Desconocido,0,1500.0,1,1,2
Ethiopia,2009.0,Desconocido,Desconocido,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,Desconocido,2,,0,1,2
China,2015.0,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,1450.0,1,1,2
Ethiopia,2014.0,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,,0,0.0,Desconocido,8,1850.0,1,0,2
United States,2014.0,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,,0,0.0,Desconocido,0,2019.0,1,0,2
Costa Rica,2014.0,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,1300.0,1,1,2
Mexico,2012.0,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,1320.0,1,1,2
United States,2014.0,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,,0,0.0,Desconocido,0,2112.0,1,0,2
Ethiopia,2013.0,Desconocido,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1,,0,1,2
Brazil,2011.0,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,1250.0,1,1,2
Ethiopia,2009.0,Desconocido,Desconocido,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,Desconocido,2,,0,1,2
Uganda,2013.0,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,1950.0,1,1,2
Honduras,2016.0,Caturra,Desconocido,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,Green,3,1400.0,1,1,2
Taiwan,2015.0,Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,,0,0.0,Green,0,1200.0,1,0,2
Nicaragua,,Desconocido,Desconocido,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,Desconocido,2,,0,1,2
"Tanzania, United Republic Of",2012.0,Desconocido,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1,,0,1,2
Brazil,2011.0,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,1300.0,1,1,2
Costa Rica,2015.0,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,,0,0.0,Blue-Green,0,1300.0,1,0,2
Ethiopia,2014.0,Desconocido,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,1775.0,1,1,2
Kenya,2013.0,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,1800.0,1,1,2
United States (Hawaii),2012.0,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,,1,0.0,Desconocido,4,,0,0,2
