Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
138,1775.0,0.12,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,200.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
10,600.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
16,1200.0,0.1,0,28,0.0,China,Typica,Washed / Wet,Green,arabica,0
250,1310.64,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Bluish-Green,arabica,1
20,1400.0,0.0,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,2075.0,0.12,0,0,0.0,Ethiopia,,Washed / Wet,Green,arabica,1
11,775.0,0.0,0,9,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
11,1400.0,0.16,2,4,0.0,Mexico,Typica,Washed / Wet,,arabica,0
26,1500.0,0.1,1,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
150,1800.0,0.13,0,0,0.0,Kenya,SL34,Washed / Wet,Green,arabica,1
150,1775.0,0.07,0,2,0.0,Colombia,Caturra,,,arabica,1
135,,0.0,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,700.0,0.0,0,1,0.0,Taiwan,Typica,Natural / Dry,,arabica,0
10,950.0,0.06,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
310,1400.0,0.12,0,9,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
100,1400.0,0.14,1,4,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
15,1200.0,0.1,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
300,1250.0,0.0,0,4,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Blue-Green,arabica,1
250,1425.0,0.11,0,7,0.0,Mexico,Catuai,Washed / Wet,Green,arabica,1
250,1402.08,0.0,0,10,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
1,609.6,0.0,0,2,0.0,United States (Hawaii),,,,arabica,1
300,1635.0,0.03,0,0,0.0,Ethiopia,,,,arabica,1
1,1600.2,0.0,0,1,0.0,Costa Rica,,,,arabica,1
10,1000.0,0.12,0,0,0.0,Taiwan,Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
8,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,0
250,1310.64,0.11,0,15,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
250,1310.64,0.11,0,6,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
2,1250.0,0.11,0,5,0.0,Indonesia,Other,Washed / Wet,Green,arabica,1
202,,0.1,1,3,0.0,Colombia,,,Green,arabica,0
10,800.0,0.13,0,30,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
275,1400.0,0.12,0,1,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
220,1880.0,0.0,0,5,0.0,Burundi,Bourbon,Washed / Wet,,arabica,1
48,900.0,0.12,10,32,0.0,Mexico,Typica,Washed / Wet,Blue-Green,arabica,1
10,600.0,0.11,0,0,0.0,Taiwan,Yellow Bourbon,Other,Green,arabica,1
300,1200.0,0.0,0,9,0.0,United States,Other,Other,,arabica,1
37,1300.0,0.12,0,2,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
10,763.0,0.13,1,8,0.0,Mexico,Caturra,Washed / Wet,,arabica,1
10,1400.0,0.12,0,0,0.0,Indonesia,Typica,Washed / Wet,Green,arabica,1
18,,0.11,2,8,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,0
250,,0.12,0,4,0.0,Guatemala,Bourbon,Washed / Wet,,arabica,0
100,995.0,0.12,0,1,0.0,Malawi,Caturra,Washed / Wet,Bluish-Green,arabica,1
100,1800.0,0.09,0,15,0.0,Ethiopia,Other,Natural / Dry,,arabica,1
10,850.0,0.12,2,7,0.0,Mexico,Other,Washed / Wet,Green,arabica,0
3,1100.0,0.1,0,4,1.0,China,Catimor,Washed / Wet,Green,arabica,1
20,1450.0,0.12,0,0,0.0,Thailand,Caturra,Washed / Wet,Blue-Green,arabica,1
300,,0.11,0,0,1.0,Brazil,,,Green,arabica,0
43,850.0,0.14,15,7,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
209,1250.0,0.11,0,0,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,0
250,1200.0,0.11,0,1,0.0,Philippines,Other,Washed / Wet,Blue-Green,arabica,1
250,13.0,0.12,0,1,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
300,1905.0,0.1,0,1,0.0,Ethiopia,,Natural / Dry,,arabica,1
250,1800.0,0.01,0,1,0.0,Colombia,,,,arabica,1
130,3280.0,0.1,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,,0.0,1,4,0.0,Colombia,,Washed / Wet,Green,arabica,1
100,1600.0,0.0,0,1,0.0,Colombia,Other,Washed / Wet,,arabica,1
16,1100.0,0.12,0,2,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
10,1100.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
250,1900.0,0.1,0,3,0.0,Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,,arabica,1
250,1219.2,0.12,0,0,0.0,Guatemala,Other,Washed / Wet,Green,arabica,1
360,,0.0,0,5,0.0,Ethiopia,,,,arabica,1
275,1250.0,0.0,0,12,0.0,El Salvador,Bourbon,Washed / Wet,Bluish-Green,arabica,0
320,1100.0,0.12,0,6,0.0,Uganda,,,Green,robusta,1
275,1450.0,0.11,0,2,0.0,Honduras,Catuai,Washed / Wet,Blue-Green,arabica,1
200,1800.0,0.11,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
167,1200.0,0.0,0,0,0.0,Taiwan,,,,arabica,1
275,1300.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
27,,0.01,0,0,0.0,United States (Hawaii),,,,arabica,1
1,,0.11,0,0,0.0,Taiwan,,,Blue-Green,arabica,1
200,1775.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
12,940.0,0.11,0,4,0.0,Mexico,Caturra,Semi-washed / Semi-pulped,Green,arabica,1
300,,0.12,3,4,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,0
150,1500.0,0.11,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
19,1350.0,0.11,0,0,0.0,El Salvador,Bourbon,Semi-washed / Semi-pulped,,arabica,1
10,1941.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
250,1310.64,0.11,3,9,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
360,,0.1,0,1,0.0,Ethiopia,,,,arabica,1
18,853.44,0.12,0,1,0.0,United States (Puerto Rico),Other,Washed / Wet,Green,arabica,1
10,690.0,0.14,2,8,0.0,Mexico,Mundo Novo,Washed / Wet,,arabica,1
250,,0.11,0,6,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
15,940.0,0.12,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
13,,0.0,0,2,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,1
300,250.5,0.08,0,0,0.0,Kenya,SL28,Washed / Wet,Green,arabica,1
275,,0.0,0,0,0.0,Colombia,,Washed / Wet,,arabica,1
250,1300.0,0.1,0,2,0.0,Costa Rica,Caturra,Washed / Wet,Bluish-Green,arabica,1
320,168.0,0.12,0,3,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,arabica,1
250,1219.2,0.12,0,3,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
280,,0.1,1,5,0.0,Peru,,Washed / Wet,Bluish-Green,arabica,1
1,,0.28,0,0,0.0,Thailand,,,,arabica,1
20,800.0,0.1,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,1
28,1000.0,0.0,0,0,0.0,Taiwan,Typica,Natural / Dry,,arabica,0
134,1620.0,0.12,0,2,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
1,,0.12,0,5,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,arabica,1
275,1775.0,0.08,0,0,0.0,Colombia,,,,arabica,1
250,442.0,0.11,6,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
300,1250.0,0.11,0,3,0.0,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Green,arabica,1
200,1400.0,0.0,0,3,0.0,Indonesia,Mandheling,Other,Blue-Green,arabica,1
275,1524.0,0.1,0,5,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
250,1775.0,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Blue-Green,arabica,1
280,,0.1,4,6,0.0,Peru,,Washed / Wet,Green,arabica,1
10,1500.0,0.15,4,5,0.0,Mexico,Typica,Washed / Wet,,arabica,0
10,2019.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
270,,0.21,0,2,0.0,Colombia,,,,arabica,1
305,1150.0,0.0,0,16,0.0,Brazil,Catuai,Natural / Dry,,arabica,1
93,1700.0,0.12,0,0,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
275,1050.0,0.12,0,6,0.0,Nicaragua,Caturra,Natural / Dry,Green,arabica,0
250,1706.88,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
250,1200.0,0.11,0,7,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,0
275,442.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,1450.0,0.12,0,0,0.0,Malawi,Gesha,Washed / Wet,Green,arabica,1
120,1600.0,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
1,,0.1,0,1,0.0,Brazil,,Natural / Dry,Bluish-Green,arabica,1
20,800.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
250,1480.0,0.12,0,0,0.0,Colombia,,Washed / Wet,Green,arabica,1
12,,0.01,0,0,0.0,United States (Hawaii),,,,arabica,1
250,1750.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Blue-Green,arabica,1
250,1400.0,0.1,0,4,0.0,Mexico,Bourbon,Washed / Wet,Bluish-Green,arabica,1
275,1500.0,0.11,0,2,0.0,El Salvador,Bourbon,Natural / Dry,Bluish-Green,arabica,1
2,,0.12,0,0,0.0,Thailand,Other,Washed / Wet,Green,arabica,1
250,,0.11,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,1250.0,0.1,0,3,0.0,Nicaragua,Caturra,Washed / Wet,Green,arabica,1
440,1100.0,0.11,0,5,0.0,Brazil,Bourbon,Pulped natural / honey,Green,arabica,1
10,550.0,0.09,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
5,1700.0,0.0,0,0,0.0,Guatemala,Bourbon,,,arabica,1
1,1650.0,0.12,0,0,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
248,1775.0,0.12,4,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
51,,0.11,0,2,0.0,Brazil,Arusha,Natural / Dry,Blue-Green,arabica,1
1,1700.0,0.13,4,29,0.0,Uganda,Other,Natural / Dry,Green,arabica,1
10,800.0,0.1,0,0,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
300,,0.11,0,1,0.0,Ethiopia,,Natural / Dry,,arabica,1
320,1.0,0.0,0,1,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
275,,0.1,1,7,5.0,Nicaragua,,,Green,arabica,0
120,3280.0,0.09,0,8,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
1,1219.2,0.0,0,4,0.0,Myanmar,Catuai,Washed / Wet,Green,arabica,1
1,825.0,0.1,0,1,0.0,Haiti,Typica,Washed / Wet,,arabica,0
