Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad,prediccion,probabilidad_especialidad
2,1200.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,1,1,0.7470538524575457
2,1650.0,0.13,0,20,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1,1,0.7416765571947747
12,,0.11,2,2,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1,1,0.630417831705901
1,1500.0,0.03,0,0,0.0,Indonesia,,,,arabica,1,1,0.8391757077312706
250,1550.0,0.12,0,5,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,0,0.3600143561964297
2,1300.0,0.13,0,1,0.0,Indonesia,Java,Washed / Wet,,arabica,0,1,0.8234336945656964
302,1500.0,0.12,0,2,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1,0,0.3150551569852131
50,750.0,0.14,0,19,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0,0,0.08000094516675678
10,,0.11,1,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,1,1,0.6454922607659005
300,1488.0,0.12,0,2,0.0,Uganda,,,Green,robusta,1,1,0.8949411227866264
275,1000.0,0.1,0,1,0.0,Nicaragua,,,Green,arabica,1,0,0.2296422726146036
250,1200.0,0.11,0,3,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1,1,0.769511908259134
1,1040.0,0.12,0,2,0.0,Vietnam,Other,Natural / Dry,Green,arabica,1,1,0.89430491668142
250,1386.84,0.04,1,1,0.0,Guatemala,,,,arabica,1,0,0.41254522697730717
275,1500.0,0.11,0,3,2.0,Honduras,Caturra,Washed / Wet,Bluish-Green,arabica,1,1,0.7386068611346465
2,1450.0,0.0,0,1,0.0,El Salvador,Bourbon,Washed / Wet,Green,arabica,1,1,0.8370015018905742
310,1400.0,0.12,0,4,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0,0,0.2784843415303435
10,1227.0,0.1,1,5,0.0,Brazil,Catuai,Semi-washed / Semi-pulped,Green,arabica,1,1,0.9649170363842272
275,1775.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1,1,0.9477757838068335
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Green,arabica,1,0,0.3779480233943068
2,,0.12,0,0,0.0,Thailand,Other,Washed / Wet,Bluish-Green,arabica,1,1,0.7063785677663045
50,850.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,0,1,0.7162250889631495
25,1901.0,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,1,0.5264698705462018
250,1500.0,0.1,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1,0,0.3642386503115318
250,1550.0,0.12,10,14,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1,0,0.20920939265494645
250,1200.0,0.0,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,0,1,0.9120825095753052
300,2075.0,0.12,0,2,0.0,Ethiopia,Other,Washed / Wet,Green,arabica,1,1,0.9744255596456368
15,1400.0,0.12,0,0,0.0,Mexico,Pacamara,Washed / Wet,Green,arabica,1,1,0.7394922403756312
250,1050.0,0.1,2,4,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1,0,0.22830252339733356
245,1850.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1,1,0.9140006881667349
1,,0.01,0,0,0.0,Thailand,,,,arabica,1,1,0.6078109810367225
14,,0.0,0,2,0.0,United States (Hawaii),,,,arabica,1,0,0.4028772306339206
60,1200.0,0.1,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1,0,0.3707138032236177
250,1200.0,0.14,0,3,0.0,El Salvador,,,,arabica,1,1,0.8607895134184042
320,1850.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1,1,0.9082101923280336
100,1700.0,0.12,0,1,0.0,Mexico,Typica,Washed / Wet,Blue-Green,arabica,1,0,0.47632759833163363
10,1400.0,0.12,0,14,0.0,Mexico,Typica,Washed / Wet,,arabica,0,0,0.08140245062232215
50,1219.2,0.1,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0,0,0.4930312387596113
10,1180.0,0.13,0,0,0.0,Malawi,Gesha,Washed / Wet,Blue-Green,arabica,1,1,0.9556534640254791
250,442.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1,1,0.9389026185272019
20,1250.0,0.12,0,9,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1,0,0.2213329710608544
250,,0.11,0,10,0.0,Guatemala,Bourbon,Washed / Wet,,arabica,0,0,0.12890903406201706
275,1250.0,0.0,0,4,0.0,El Salvador,Pacas,Washed / Wet,Green,arabica,1,1,0.7831526398102143
320,1.0,0.0,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1,1,0.8135906295386093
