representacion,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
7_atributos,kmeans,2,0.351,1.019,927.0
7_atributos,kmeans,3,0.295,1.089,813.0
7_atributos,kmeans,4,0.255,1.17,701.0
7_atributos,kmeans,5,0.221,1.269,617.0
7_atributos,kmeans,6,0.182,1.453,543.0
7_atributos,kmeans,7,0.184,1.294,492.0
7_atributos,kmeans,8,0.164,1.393,452.0
7_atributos,kmeans,9,0.157,1.444,417.0
7_atributos,kmeans,10,0.142,1.552,388.0
7_atributos,agglomerative,2,0.354,1.024,880.0
7_atributos,agglomerative,3,0.303,1.02,698.0
7_atributos,agglomerative,4,0.261,1.106,636.0
7_atributos,agglomerative,5,0.174,1.431,571.0
7_atributos,agglomerative,6,0.179,1.247,495.0
7_atributos,agglomerative,7,0.176,1.209,443.0
7_atributos,agglomerative,8,0.139,1.43,409.0
7_atributos,agglomerative,9,0.135,1.446,380.0
7_atributos,agglomerative,10,0.14,1.403,355.0
7_atributos,gaussian_mixture,2,0.226,6.651,17.0
7_atributos,gaussian_mixture,3,0.173,8.127,7.0
7_atributos,gaussian_mixture,4,0.105,5.397,22.0
7_atributos,gaussian_mixture,5,0.035,3.848,50.0
7_atributos,gaussian_mixture,6,0.041,2.758,99.0
7_atributos,gaussian_mixture,7,0.029,5.16,96.0
7_atributos,gaussian_mixture,8,0.106,3.002,201.0
7_atributos,gaussian_mixture,9,0.057,2.879,161.0
7_atributos,gaussian_mixture,10,0.039,5.569,145.0
pca_2,kmeans,2,0.458,0.765,1434.0
pca_2,kmeans,3,0.428,0.761,1506.0
pca_2,kmeans,4,0.398,0.771,1497.0
pca_2,kmeans,5,0.379,0.792,1500.0
pca_2,kmeans,6,0.352,0.846,1457.0
pca_2,kmeans,7,0.336,0.863,1411.0
pca_2,kmeans,8,0.326,0.878,1377.0
pca_2,kmeans,9,0.321,0.89,1348.0
pca_2,kmeans,10,0.336,0.866,1337.0
pca_2,agglomerative,2,0.465,0.718,1154.0
pca_2,agglomerative,3,0.386,0.808,1357.0
pca_2,agglomerative,4,0.378,0.745,1199.0
pca_2,agglomerative,5,0.344,0.776,1239.0
pca_2,agglomerative,6,0.295,0.904,1252.0
pca_2,agglomerative,7,0.293,0.97,1206.0
pca_2,agglomerative,8,0.289,0.897,1172.0
pca_2,agglomerative,9,0.287,0.888,1169.0
pca_2,agglomerative,10,0.292,0.877,1137.0
pca_2,gaussian_mixture,2,0.392,8.677,12.0
pca_2,gaussian_mixture,3,0.416,0.703,1244.0
pca_2,gaussian_mixture,4,0.267,6.375,586.0
pca_2,gaussian_mixture,5,0.351,1.429,957.0
pca_2,gaussian_mixture,6,0.334,1.928,907.0
pca_2,gaussian_mixture,7,0.288,1.911,817.0
pca_2,gaussian_mixture,8,0.277,1.523,952.0
pca_2,gaussian_mixture,9,0.296,1.27,876.0
pca_2,gaussian_mixture,10,0.316,2.098,1066.0
pca_4,kmeans,2,0.391,0.912,1106.0
pca_4,kmeans,3,0.343,0.951,1031.0
pca_4,kmeans,4,0.304,1.009,928.0
pca_4,kmeans,5,0.271,1.079,844.0
pca_4,kmeans,6,0.233,1.218,763.0
pca_4,kmeans,7,0.216,1.255,694.0
pca_4,kmeans,8,0.226,1.105,642.0
pca_4,kmeans,9,0.201,1.209,612.0
pca_4,kmeans,10,0.2,1.231,581.0
pca_4,agglomerative,2,0.358,0.953,993.0
pca_4,agglomerative,3,0.278,1.055,892.0
pca_4,agglomerative,4,0.275,1.058,856.0
pca_4,agglomerative,5,0.248,1.098,763.0
pca_4,agglomerative,6,0.184,1.346,673.0
pca_4,agglomerative,7,0.191,1.232,609.0
pca_4,agglomerative,8,0.152,1.415,567.0
pca_4,agglomerative,9,0.155,1.343,535.0
pca_4,agglomerative,10,0.154,1.328,507.0
pca_4,gaussian_mixture,2,0.324,8.119,11.0
pca_4,gaussian_mixture,3,0.204,7.43,9.0
pca_4,gaussian_mixture,4,0.187,3.587,197.0
pca_4,gaussian_mixture,5,0.217,3.572,209.0
pca_4,gaussian_mixture,6,0.123,3.4,228.0
pca_4,gaussian_mixture,7,0.192,3.08,350.0
pca_4,gaussian_mixture,8,0.163,2.509,328.0
pca_4,gaussian_mixture,9,0.136,2.597,368.0
pca_4,gaussian_mixture,10,0.113,2.824,370.0
