prueba,metrica,valor
semillas,n_corridas,20.0
semillas,ari_medio,0.9961
semillas,ari_minimo,0.9877
semillas,ari_maximo,1.0
submuestras,n_corridas,50.0
submuestras,fraccion,0.8
submuestras,ari_medio,0.9517
submuestras,ari_desviacion,0.058
submuestras,ari_minimo,0.777
submuestras,ari_maximo,0.9969
asignacion,pct_conserva_medio,98.44
asignacion,pct_conserva_minimo,92.56
asignacion,pct_conserva_maximo,99.9
asignacion,lotes_inestables_bajo_80pct,32.0
asignacion_por_grupo,pct_conserva_grupo_0,98.7
asignacion_por_grupo,pct_conserva_grupo_1,98.09
asignacion_por_grupo,pct_conserva_grupo_2,98.26
