bloque,item,metrica,valor
metricas_globales,pca_2 (donde se ajustó),silhouette,0.4279
metricas_globales,pca_2 (donde se ajustó),davies_bouldin,0.7608
metricas_globales,pca_2 (donde se ajustó),calinski_harabasz,1505.9
metricas_globales,7 atributos estandarizados,silhouette,0.2955
metricas_globales,7 atributos estandarizados,davies_bouldin,1.0878
metricas_globales,7 atributos estandarizados,calinski_harabasz,812.0
silueta_por_grupo,grupo 0,media,0.452
silueta_por_grupo,grupo 0,minimo,0.011
silueta_por_grupo,grupo 0,p25,0.33
silueta_por_grupo,grupo 0,pct_negativa,0.0
silueta_por_grupo,grupo 0,n,708.0
silueta_por_grupo,grupo 1,media,0.422
silueta_por_grupo,grupo 1,minimo,-0.016
silueta_por_grupo,grupo 1,p25,0.315
silueta_por_grupo,grupo 1,pct_negativa,1.0
silueta_por_grupo,grupo 1,n,295.0
silueta_por_grupo,grupo 2,media,0.379
silueta_por_grupo,grupo 2,minimo,-0.016
silueta_por_grupo,grupo 2,p25,0.274
silueta_por_grupo,grupo 2,pct_negativa,1.6
silueta_por_grupo,grupo 2,n,307.0
