grupo,valor,n,pct_dentro_del_grupo
0,Colombia,128,18.1
0,Mexico,123,17.4
0,Guatemala,99,14.0
0,Brazil,89,12.6
0,Taiwan,41,5.8
0,United States (Hawaii),34,4.8
0,Honduras,28,4.0
0,Costa Rica,27,3.8
0,"Tanzania, United Republic Of",26,3.7
0,Thailand,18,2.5
0,Indonesia,13,1.8
0,Uganda,12,1.7
0,El Salvador,11,1.6
0,Malawi,9,1.3
0,China,8,1.1
0,Vietnam,7,1.0
0,Ethiopia,6,0.8
0,Peru,5,0.7
0,Nicaragua,5,0.7
0,Kenya,4,0.6
0,Philippines,3,0.4
0,Haiti,2,0.3
0,Laos,2,0.3
0,Myanmar,2,0.3
0,Burundi,1,0.1
0,Ecuador,1,0.1
0,United States (Puerto Rico),1,0.1
0,United States,1,0.1
0,Panama,1,0.1
0,Zambia,1,0.1
1,Mexico,94,31.9
1,Guatemala,46,15.6
1,Taiwan,23,7.8
1,Honduras,19,6.4
1,Brazil,18,6.1
1,Nicaragua,17,5.8
1,United States (Hawaii),14,4.7
1,"Tanzania, United Republic Of",9,3.1
1,Colombia,7,2.4
1,Thailand,7,2.4
1,Myanmar,6,2.0
1,Costa Rica,6,2.0
1,Haiti,4,1.4
1,El Salvador,3,1.0
1,China,3,1.0
1,Malawi,2,0.7
1,Indonesia,2,0.7
1,Philippines,2,0.7
1,Desconocido,1,0.3
1,Kenya,1,0.3
1,United States (Puerto Rico),1,0.3
1,Cote d?Ivoire,1,0.3
1,Peru,1,0.3
1,Laos,1,0.3
1,Burundi,1,0.3
1,Mauritius,1,0.3
1,Panama,1,0.3
1,Uganda,1,0.3
1,United States,1,0.3
1,Ethiopia,1,0.3
1,India,1,0.3
2,Colombia,48,15.6
2,Ethiopia,37,12.1
2,Guatemala,36,11.7
2,Brazil,25,8.1
2,United States (Hawaii),25,8.1
2,Kenya,20,6.5
2,Mexico,19,6.2
2,Costa Rica,18,5.9
2,Uganda,13,4.2
2,Taiwan,11,3.6
2,Thailand,7,2.3
2,El Salvador,7,2.3
2,United States,6,2.0
2,China,5,1.6
2,Honduras,5,1.6
2,Indonesia,5,1.6
2,"Tanzania, United Republic Of",5,1.6
2,Nicaragua,4,1.3
2,Peru,4,1.3
2,Panama,2,0.7
2,United States (Puerto Rico),2,0.7
2,Papua New Guinea,1,0.3
2,Japan,1,0.3
2,Rwanda,1,0.3
