grupo,valor,n,pct_dentro_del_grupo
0,Caturra,155,21.9
0,Bourbon,132,18.6
0,Typica,105,14.8
0,Desconocido,100,14.1
0,Other,44,6.2
0,Catuai,43,6.1
0,Yellow Bourbon,25,3.5
0,Mundo Novo,22,3.1
0,Hawaiian Kona,19,2.7
0,Catimor,13,1.8
0,Gesha,9,1.3
0,SL14,9,1.3
0,Pacas,7,1.0
0,SL28,5,0.7
0,Arusha,4,0.6
0,Pacamara,3,0.4
0,Ruiru 11,2,0.3
0,Sumatra,2,0.3
0,Peaberry,2,0.3
0,Blue Mountain,2,0.3
0,Ethiopian Heirlooms,1,0.1
0,Moka Peaberry,1,0.1
0,Sulawesi,1,0.1
0,Marigojipe,1,0.1
0,Mandheling,1,0.1
1,Typica,83,28.1
1,Bourbon,52,17.6
1,Caturra,37,12.5
1,Desconocido,35,11.9
1,Other,30,10.2
1,Catuai,21,7.1
1,Hawaiian Kona,10,3.4
1,Mundo Novo,7,2.4
1,Yellow Bourbon,5,1.7
1,Pacas,5,1.7
1,Pacamara,2,0.7
1,Peaberry,2,0.7
1,Arusha,1,0.3
1,SL34,1,0.3
1,Pache Comun,1,0.3
1,Catimor,1,0.3
1,SL14,1,0.3
1,Java,1,0.3
2,Desconocido,66,21.5
2,Caturra,63,20.5
2,Bourbon,42,13.7
2,Other,34,11.1
2,Typica,23,7.5
2,Hawaiian Kona,15,4.9
2,Catuai,10,3.3
2,SL28,10,3.3
2,SL34,7,2.3
2,SL14,7,2.3
2,Catimor,6,2.0
2,Yellow Bourbon,5,1.6
2,Mundo Novo,4,1.3
2,Gesha,3,1.0
2,Pacamara,3,1.0
2,Ethiopian Yirgacheffe,2,0.7
2,Mandheling,2,0.7
2,Sumatra,1,0.3
2,Sumatra Lintong,1,0.3
2,Java,1,0.3
2,Peaberry,1,0.3
2,Pacas,1,0.3
